class,precision,recall,mAP50,mAP50-95
all,0.8060000984019513,0.5843154754748228,0.6622507648727073,0.411134650704928
Hardhat,0.9517710024906383,0.6333333333333333,0.7603732457253947,0.48648564476869316
NO-Hardhat,0.700333152544045,0.5104315009422807,0.5451272029908629,0.2906024512032328
NO-Safety Vest,0.7665605978557763,0.4988095045023171,0.5727762098605886,0.33754436541554333
Person,0.8323778969530978,0.6259418141063869,0.7161641500312179,0.48546781080842305
Safety Vest,0.7789578421661996,0.6530612244897959,0.7168130157554724,0.4555729813287475
